Year,Sex,Age group (years),Count,"Age-specific rate(per 100,000)"
2005,Females,75–84,110,20.73
2005,Females,85–94,72,35.02
2005,Males,15–24,0,
2005,Males,25–34,28,1.98
2005,Males,35–44,47,3.11
2005,Males,45–54,84,6.07
2005,Males,55–64,170,15.67
2005,Males,65–74,196,29.27
2005,Males,75–84,242,59.65
2005,Males,85–94,93,96.36
2005,Persons,15–24,2,0.1
2005,Persons,25–34,34,1.21
2005,Persons,35–44,75,2.46
2005,Persons,45–54,139,4.97
2005,Persons,55–64,235,10.88
2005,Persons,65–74,271,19.73
2005,Persons,75–84,352,37.64
2005,Persons,85–94,165,54.63
2006,Females,15–24,1,0.1
2006,Females,25–34,16,1.1
2006,Females,35–44,17,1.1
2006,Females,45–54,67,4.71
2006,Females,55–64,76,6.83
2006,Females,65–74,90,12.62
2006,Females,75–84,113,21.18
2006,Females,85–94,75,34.85
2006,Males,15–24,4,0.3
2006,Males,25–34,14,1
2006,Males,35–44,43,2.9
2006,Males,45–54,71,5.09
2006,Males,55–64,131,11.69
2006,Males,65–74,194,28.4
2006,Males,75–84,245,59.11
2006,Males,85–94,92,89.05
2006,Persons,15–24,5,0.14
2006,Persons,25–34,30,1.05
2006,Persons,35–44,60,2
2006,Persons,45–54,138,4.87
2006,Persons,55–64,207,9.24
2006,Persons,65–74,284,20.32
2006,Persons,75–84,358,37.76
2006,Persons,85–94,167,52.35
2007,Females,15–24,4,0.23
2007,Females,25–34,19,1.34
2007,Females,35–44,26,1.7
2007,Females,45–54,52,3.59
2007,Females,55–64,62,5.35
2007,Females,65–74,75,10.23
2007,Females,75–84,104,19.41
2007,Females,85–94,83,36.72
2007,Males,15–24,3,0.4
2007,Males,25–34,12,0.85
2007,Males,35–44,45,2.95
2007,Males,45–54,97,6.78
2007,Males,55–64,180,15.61
2007,Males,65–74,181,25.64
2007,Males,75–84,260,61.67
2007,Males,85–94,112,100.98
2007,Persons,15–24,7,0.28
2007,Persons,25–34,31,1.1
2007,Persons,35–44,71,2.29
2007,Persons,45–54,149,5.18
2007,Persons,55–64,242,10.48
2007,Persons,65–74,256,17.78
2007,Persons,75–84,364,37.99
2007,Persons,85–94,195,57.87
2008,Females,15–24,3,0.4
2008,Females,25–34,12,0.8
2008,Females,35–44,37,2.34
2008,Females,45–54,51,3.45
2008,Females,55–64,67,5.59
2008,Females,65–74,82,10.87
2008,Females,75–84,103,19.05
2008,Females,85–94,100,42.52
2008,Males,15–24,5,0.28
2008,Males,25–34,18,1.25
2008,Males,35–44,42,2.74
2008,Males,45–54,74,5.1
2008,Males,55–64,179,15.01
2008,Males,65–74,225,30.84
2008,Males,75–84,288,67.34
2008,Males,85–94,111,94.62
2008,Persons,15–24,8,0.33
2008,Persons,25–34,30,1
2008,Persons,35–44,79,2.59
2008,Persons,45–54,125,4.27
2008,Persons,55–64,246,10.33
2008,Persons,65–74,307,20.65
2008,Persons,75–84,391,40.42
2008,Persons,85–94,211,59.82
2009,Females,15–24,3,0.4
2009,Females,25–34,11,0.75
2009,Females,35–44,35,2.25
2009,Females,45–54,55,3.62
2009,Females,55–64,77,6.27
2009,Females,65–74,96,12.24
2009,Females,75–84,95,17.5
2009,Females,85–94,93,38.06
2009,Males,15–24,1,0.1
2009,Males,25–34,18,1.2
2009,Males,35–44,40,2.58
2009,Males,45–54,90,6.07
2009,Males,55–64,165,13.56
2009,Males,65–74,244,32.07
2009,Males,75–84,274,63.19
2009,Males,85–94,115,92.78
2009,Persons,15–24,4,0.3
2009,Persons,25–34,29,0.99
2009,Persons,35–44,75,2.38
2009,Persons,45–54,145,4.9
2009,Persons,55–64,242,9.86
2009,Persons,65–74,340,22.01
2009,Persons,75–84,369,37.79
2009,Persons,85–94,208,56.47
2010,Females,15–24,2,0.3
2010,Females,25–34,8,0.51
2010,Females,35–44,32,1.98
2010,Females,45–54,44,2.91
2010,Females,55–64,89,7.11
2010,Females,65–74,93,11.39
2010,Females,75–84,106,19.4
2010,Females,85–94,74,29.06
2010,Males,15–24,1,0.1
2010,Males,25–34,16,0.98
2010,Males,35–44,36,2.3
2010,Males,45–54,84,5.62
2010,Males,55–64,189,15.21
2010,Males,65–74,243,30.56
2010,Males,75–84,269,61.14
2010,Males,85–94,145,110.15
2010,Persons,15–24,3,0.1
2010,Persons,25–34,24,0.8
2010,Persons,35–44,68,2.14
2010,Persons,45–54,128,4.27
2010,Persons,55–64,278,11.11
2010,Persons,65–74,336,20.83
2010,Persons,75–84,375,38.01
2010,Persons,85–94,219,56.63
2011,Females,15–24,2,0.3
2011,Females,25–34,12,0.75
2011,Females,35–44,35,2.2
2011,Females,45–54,47,3.04
2011,Females,55–64,79,6.14
